open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date,month,year
266.0,268.0,265.0,268.0,41213866.0,268.0,265.0,268.0,266.0,41466762.0,1.0,0.0,AAPL,XNAS,27-04-2026,04,2026
273.0,273.0,270.0,271.0,38033227.0,273.0,270.0,271.0,273.0,38157110.0,1.0,0.0,AAPL,XNAS,24-04-2026,04,2026
275.0,276.0,272.0,273.0,33138070.0,276.0,272.0,273.0,275.0,33399639.0,1.0,0.0,AAPL,XNAS,23-04-2026,04,2026
268.0,274.0,267.0,273.0,42729584.0,274.0,267.0,273.0,268.0,43249204.0,1.0,0.0,AAPL,XNAS,22-04-2026,04,2026
271.0,273.0,265.0,266.0,49363473.0,273.0,265.0,266.0,272.0,50209755.0,1.0,0.0,AAPL,XNAS,21-04-2026,04,2026
270.0,274.0,270.0,273.0,34667241.0,274.0,270.0,273.0,270.0,36590169.0,1.0,0.0,AAPL,XNAS,20-04-2026,04,2026
267.0,272.0,267.0,270.0,55211089.0,272.0,267.0,270.0,267.0,61436228.0,1.0,0.0,AAPL,XNAS,17-04-2026,04,2026
267.0,267.0,261.0,263.0,43105688.0,267.0,261.0,263.0,267.0,43323112.0,1.0,0.0,AAPL,XNAS,16-04-2026,04,2026
258.0,267.0,258.0,266.0,49686657.0,267.0,258.0,266.0,258.0,49913510.0,1.0,0.0,AAPL,XNAS,15-04-2026,04,2026
259.0,262.0,257.0,259.0,39378346.0,262.0,257.0,259.0,259.0,48370710.0,1.0,0.0,AAPL,XNAS,14-04-2026,04,2026
260.0,260.0,257.0,259.0,35080398.0,260.0,257.0,259.0,260.0,36234698.0,1.0,0.0,AAPL,XNAS,13-04-2026,04,2026
260.0,262.0,259.0,260.0,31259500.0,262.0,259.0,260.0,260.0,31291473.0,1.0,0.0,AAPL,XNAS,10-04-2026,04,2026
259.0,261.0,256.0,260.0,26229474.0,261.0,256.0,260.0,259.0,28121574.0,1.0,0.0,AAPL,XNAS,09-04-2026,04,2026
259.0,260.0,257.0,259.0,39655304.0,260.0,257.0,259.0,258.0,41032772.0,1.0,0.0,AAPL,XNAS,08-04-2026,04,2026
256.0,256.0,246.0,254.0,60820961.0,256.0,246.0,254.0,256.0,62148008.0,1.0,0.0,AAPL,XNAS,07-04-2026,04,2026
257.0,262.0,256.0,259.0,29319825.0,262.0,256.0,259.0,257.0,29329911.0,1.0,0.0,AAPL,XNAS,06-04-2026,04,2026
254.0,256.0,251.0,256.0,31289400.0,256.0,251.0,256.0,254.0,31289369.0,1.0,0.0,AAPL,XNAS,02-04-2026,04,2026
254.0,256.0,253.0,256.0,35595400.0,256.0,253.0,256.0,254.0,40059432.0,1.0,0.0,AAPL,XNAS,01-04-2026,04,2026
248.0,255.0,247.0,254.0,48770963.0,255.0,247.0,254.0,248.0,49598091.0,1.0,0.0,AAPL,XNAS,31-03-2026,03,2026
250.0,251.0,246.0,247.0,38248670.0,251.0,246.0,247.0,250.0,39446213.0,1.0,0.0,AAPL,XNAS,30-03-2026,03,2026
254.0,255.0,248.0,249.0,46525772.0,255.0,248.0,249.0,254.0,47899998.0,1.0,0.0,AAPL,XNAS,27-03-2026,03,2026
252.0,257.0,251.0,253.0,41331888.0,257.0,251.0,253.0,252.0,41796650.0,1.0,0.0,AAPL,XNAS,26-03-2026,03,2026
254.0,255.0,252.0,253.0,28436700.0,255.0,252.0,253.0,254.0,28476668.0,1.0,0.0,AAPL,XNAS,25-03-2026,03,2026
250.0,255.0,250.0,252.0,27882961.0,255.0,250.0,252.0,250.0,45152288.0,1.0,0.0,AAPL,XNAS,24-03-2026,03,2026
254.0,255.0,250.0,251.0,37465587.0,255.0,250.0,251.0,254.0,40546109.0,1.0,0.0,AAPL,XNAS,23-03-2026,03,2026
248.0,249.0,246.0,248.0,87981315.0,249.0,246.0,248.0,248.0,88331081.0,1.0,0.0,AAPL,XNAS,20-03-2026,03,2026
249.0,252.0,247.0,249.0,34568663.0,252.0,247.0,249.0,249.0,34864082.0,1.0,0.0,AAPL,XNAS,19-03-2026,03,2026
253.0,255.0,249.0,250.0,34652568.0,255.0,249.0,250.0,253.0,35757874.0,1.0,0.0,AAPL,XNAS,18-03-2026,03,2026
