open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
301.05,305.539,300.4,304.99,42823425.0,305.54,300.4,304.99,301.055,42965126.0,1.0,0.0,AAPL,XNAS,2026-05-21T00:00:00+0000
298.18,302.8,298.09,302.25,37276629.0,302.8,298.08,302.25,298.18,37307876.0,1.0,0.0,AAPL,XNAS,2026-05-20T00:00:00+0000
296.97,300.51,296.35,298.97,34842416.0,300.51,296.35,298.97,296.97,42243561.0,1.0,0.0,AAPL,XNAS,2026-05-19T00:00:00+0000
300.24,300.66,294.91,297.84,34313641.0,300.66,294.91,297.84,300.24,34482959.0,1.0,0.0,AAPL,XNAS,2026-05-18T00:00:00+0000
297.755,303.2,296.53,300.23,54675423.0,303.2,296.52,300.23,297.9,54862836.0,1.0,0.0,AAPL,XNAS,2026-05-15T00:00:00+0000
299.82,300.35,295.38,298.21,33673067.0,300.45,295.38,298.21,299.82,35324922.0,1.0,0.0,AAPL,XNAS,2026-05-14T00:00:00+0000
293.63,300.92,293.56,298.87,45313913.0,300.92,293.5,298.87,293.5,52684260.0,1.0,0.0,AAPL,XNAS,2026-05-13T00:00:00+0000
292.755,295.27,292.615,294.8,43943518.0,295.27,292.56,294.8,292.56,45748129.0,1.0,0.0,AAPL,XNAS,2026-05-12T00:00:00+0000
291.979,293.88,290.23,292.68,39366022.0,293.88,290.23,292.68,291.979,42247285.0,1.0,0.27,AAPL,XNAS,2026-05-11T00:00:00+0000
290.11,294.76,290.0,293.32,45708423.0,294.76,290.0,293.32,290.01,52692761.0,1.0,0.0,AAPL,XNAS,2026-05-08T00:00:00+0000
289.27,292.13,285.78,287.44,40410371.0,292.13,285.78,287.44,289.27,45224300.0,1.0,0.0,AAPL,XNAS,2026-05-07T00:00:00+0000
281.915,288.03,281.075,287.51,58322453.0,288.03,281.07,287.51,281.915,58336072.0,1.0,0.0,AAPL,XNAS,2026-05-06T00:00:00+0000
276.9,284.57,276.501,284.18,47037582.0,284.57,276.501,284.18,276.925,49311712.0,1.0,0.0,AAPL,XNAS,2026-05-05T00:00:00+0000
279.655,280.63,274.8601,276.83,45414226.0,280.63,274.8601,276.83,279.655,46668401.0,1.0,0.0,AAPL,XNAS,2026-05-04T00:00:00+0000
278.94,287.21,278.37,280.14,76013740.0,287.22,278.37,280.14,278.855,79915442.0,1.0,0.0,AAPL,XNAS,2026-05-01T00:00:00+0000
270.5,275.94,268.14,271.35,83815040.0,276.0,268.14,271.35,270.5,91848230.0,1.0,0.0,AAPL,XNAS,2026-04-30T00:00:00+0000
267.55,271.04,267.04,270.17,24117049.0,271.04,267.04,270.17,267.55,30047869.0,1.0,0.0,AAPL,XNAS,2026-04-29T00:00:00+0000
272.335,273.22,268.66,270.71,32820055.0,273.23,268.66,270.71,272.335,40018940.0,1.0,0.0,AAPL,XNAS,2026-04-28T00:00:00+0000
266.09,268.36,265.07,267.61,41213866.0,268.36,265.07,267.61,266.09,41466762.0,1.0,0.0,AAPL,XNAS,2026-04-27T00:00:00+0000
272.76,273.06,269.65,271.06,38033227.0,273.06,269.65,271.06,272.755,38157110.0,1.0,0.0,AAPL,XNAS,2026-04-24T00:00:00+0000
275.045,275.77,271.65,273.43,33138070.0,275.77,271.65,273.43,275.045,33399639.0,1.0,0.0,AAPL,XNAS,2026-04-23T00:00:00+0000
267.82,273.74,266.87,273.17,42729584.0,273.74,266.87,273.17,267.82,43249204.0,1.0,0.0,AAPL,XNAS,2026-04-22T00:00:00+0000
271.445,272.8,265.4,266.17,49363473.0,272.8,265.4,266.17,271.5,50209755.0,1.0,0.0,AAPL,XNAS,2026-04-21T00:00:00+0000
270.33,274.275,270.29,273.05,34667241.0,274.275,270.29,273.05,270.33,36590169.0,1.0,0.0,AAPL,XNAS,2026-04-20T00:00:00+0000
267.098,272.3,266.72,270.23,55211089.0,272.3,266.72,270.23,266.96,61436228.0,1.0,0.0,AAPL,XNAS,2026-04-17T00:00:00+0000
266.8,267.16,261.27,263.4,43105688.0,267.16,261.27,263.4,266.8,43323112.0,1.0,0.0,AAPL,XNAS,2026-04-16T00:00:00+0000
258.095,266.56,257.82,266.43,49686657.0,266.56,257.81,266.43,258.16,49913510.0,1.0,0.0,AAPL,XNAS,2026-04-15T00:00:00+0000
259.1,261.93,257.1901,258.83,39378346.0,261.93,257.19,258.83,259.245,48370710.0,1.0,0.0,AAPL,XNAS,2026-04-14T00:00:00+0000
